Medidor de Camada Digital,"Para a medições não destrutivas de espessura de camadas depositadas sobre bases metálicas com superfícies planas, côncavas e convexas."
Medidor de Camada Ferroso,Possibilita a medição da espessura de camadas aplicadas em bases metálicas ferrosas (Fe) e metálicas não ferrosas (NFe).
Medidor de Camada Tipo Pente," Para o controle de camadas recém aplicadas e possibilitam o cálculo da espessura da camada quando seca, permitindo que se efetue, de imediato, as correções necessárias."
Medidor de Camada Umido,
Medidor de Dureza,É responsável por medir a dureza de materiais.
Medidor de Espessura Digital,Serve para determinar a espessura de revestimento sobre materiais metálicos.
Medidor de Espessura por Ultra-Som,É um equipamento utilizado em indústrias para a aferição da espessura de peças antes que elas sejam acabadas.
Medidor de Espessura Ultrassonico , Funcionam medindo com muita precisão o tempo que um pulso de som gerado por uma sonda chamada transdutor ultrassônico leva para percorrer uma peça de teste.
Medidor de Película Seca ou Úmida (até 1000 μm) ,"Se emprega no controle de camadas recém aplicadas e possibilitam o cálculo da espessura da camada quando úmida, permitindo que se efetuem, de imediato, as correções necessárias na pintura."
Medidor de Película Seca ou Úmida (até 500 μm),
Medidor de PH e Condutividade,É capaz de medir a condutividade elétrica da água.
Medidor de Umidade,É responsável por medir e controlar o teor de umidade em um material.
Megômetro,"Ele mede a capacidade de realizar a medição da resistência de isolação, você consegue medir a isolação de pólos e a isolação da carcaça."
Micrômetro de Profundidade ,"É um instrumento de medição que visa aferir profundidade de pequenos furos não vazados, rasgo e rebaixos com uma precisão mais rigorosa."
Micrômetro Externo,Ele faz as medições gerais de partes externas das peças ou superfícies.
Micrômetro Interno Tubular ,"Para realizar medidas em superfícies cilíndricas internas, permitindo leitura rápida e direta."
Micrômetro tipo Paquímetro,"Ele consiste em 2( duas) pontas de contato, especialmente desenhado para medições de diâmetros internos em locais de difícil acesso."
Monitor de Gás,Serve para identificar e avaliar os potenciais gases existentes em um ambiente de trabalho.
Monitor Pessoal ( Se for Radiação – Sonoro ),Serve para registrar exposições a radiação ionizante ocorridas fora do ambiente de trabalho. 
Multímetro Digital,"É uma ferramenta de teste utilizada para medir dois ou mais valores elétricos, principalmente, tensão, corrente e resistência, é um aparelho destinado a medir e avaliar grandezas elétricas."
Nível de Bolha ,"É uma ferramenta para aferição do plano horizontal, por meio de bolhas de ar introduzidas em tubos com líquidos em seu interior."
Nível Digital,É ideal para nivelamento de alta precisão
Nível Ótico de Precisão/Topográfico,É utilizado para medir a diferença de nível entre 2 pontos topográficos em diferentes alturas.
Nível Regular de Precisão,"É indicado para nivelamento de máquinas de precisão, mesas e desempenos, ou para medir planicidade."
Oxímetro Digital,Ele consegue medir a oxigenação do sangue.
Padrão Octogonal (PM),"Permite a verificação da posição dos campos magnéticos aplicados na peça, atestando a performance do equipamento."
Paquímetro,"É um instrumento usado para medir as dimensões lineares internas, externas e de profundidade de uma peça, normalmente de tamanho pequeno."
Pastilha Sensora,É indicada para verificação da intensidade do campo magnético aplicado na peça.
Peso Padrão,"É um material de referência para verificar, ajustar e calibrar os mais variados tipos de balança."
Phmetro,"É um equipamento utilizado para medir o pH, utilizado para medir a acidez e alcalinidade de um fluido."
Pipe Locator (Detector de Metais) ,"É um localizador de tubos e cabos enterrados, para gasodutos, oleodutos e mineroduto,  extremamente útil em campo."
Pipeta,"São vidrarias graduadas em milímetros utilizadas para transferir volumes conhecidos de líquidos, e sua função principal é transportar quantidades precisas de material líquido."
Pirômetro de Contato,"É o instrumento para medição de temperatura que operam pelo princípio da radiação infravermelha, eles detectam a radiação infravermelha dos objetos para determinar sua temperatura."
Proveta,É um instrumento laboratorial de formato cilíndrico que serve para medição de líquidos.
Pull-Off,É um teste para avaliar e medir a aderência e a resistência de revestimentos.
Registrador de Temperatura Analógico,"Capaz de controlar e registrar com alta velocidade e a prova de barulho, usado para medir temperatura, umidade, corrente, pressão."
Régua de Aço,"É o instrumento que dispõe de uma escala de valores para conhecer o comprimento de algo,fabricado geralmente em aço."
Régua Graduada,São utilizadas nas indústrias para medições lineares sendo também muito utilizado em laboratórios para calibração de trenas. Gravação da escala por processo a laser.
Regulador de Argônio,"É utilizado para redução da pressão em cilindros de Argônio ou misturas de Argônio/CO², além do ajuste da vazão de gás desejada, mantendo-a sempre constante."
Regulador de Pressão ,Tem a função de manter a pressão regulada para todo o circuito pneumático e ou rede de ar comprimido.
Relógio Comparador,"Realiza a medição indireta de peças, comparando-as com um padrão pré-estabelecido."
Rugosímetro/ Pintura / Com Relógio ,Serve para determinar com rapidez a rugosidade em superfícies ou perfurações.
Teodolito,"É a medida de ângulos horizontais e verticais, possibilita obter tanto a distância horizontal entre dois pontos quanto a diferença de nível entre os mesmos."
Termo-Higrômetro (Padrão/Demais),Medidor de temperatura interna/externa e umidade relativa do ar.
Termômetro Bimetálico,"É constituído por duas lâminas de metais diferentes, unidas entre si e enroladas em forma de espiral ou hélice. É utilizado para medições de temperatura local de ar, água, óleo, vapor saturado ou seco, gases e líquidos não agressivos."
Termômetro de Mercúrio,É usado para determinar os valores de temperatura
Termômetro Digital de Contato,Foi desenvolvido para a realização da medição da temperatura corporal.
Termômetro Laser,"Os dispositivos são munidos de sensor infravermelho, que mede a temperatura a partir do calor que emana da superfície corporal."
Termopar,É um sensor utilizado para a medição da temperatura. 
Terrômetro,"Tem a capacidade de medir a resistência do solo em receber as descargas elétricas, ele mede a eficiência do aterramento através de sensores."
Torquímetro,"É uma ferramenta que serve para apertar parafusos e porcas, instrumento para medir a resistência dos metais à torção."
Transferidor de Ângulo / Grau,É uma régua especial que serve para medir os ângulos ao longo de uma circunferência.
Trena (Digital),Consegue calcular com melhor precisão a medida.
Trena (Fita),São instrumentos de medição para medir alturas ou distâncias.
Tubo Colorido,"É utilizado para medir a concentração de banhos de partículas magnéticas. Disponível em dois modelos. Um específico para partículas coloridas com fundo de escala de 0,1 mL e para partículas fluorescentes com fundo de escala de 0,05 mL."
Tubo Decantador," Para verificação da concentração e contaminação de banhos preparados para inspeção de peças pelo método de END por Partículas Magnéticas(PM), via úmida, nas escalas 0,05ml para PM Fluorescentes ou 0,1ml para PM Coloridas."
Ultrassom Automatizado,Estabelece detecções de falhas ou imperfeições no maquinário com desenvolvimento específico para trabalhar em contato com o material.
Ultrassom Phased Array,"Utiliza esses elementos que são pulsados de uma maneira que criam vários componentes de feixe combinando-os e, dessa maneira, formando um declive de onda único que se desloca da direção desejada, fazendo com que o manuseio seja simples e efetivo."
Ultrassom Portátil Digital,"Que medem de forma indireta a dureza de diversos materiais, sem a necessidade de envio do material para o laboratório ou elaboração de amostras."
Válvula de Segurança- Jato,"É utilizada para fazer a vedação da máquina de jato no momento do início da operação, gerando a pressão interna."
Voltímetro (Analógico/Digital),"O voltímetro é um instrumento de medição e teste utilizado para medir a diferença de  potencial / tensão entre dois pontos distintos de um circuito elétrico, atuando como um medidor de tensão."
Yoke,"É uma ferramenta que, ao entrar em contato com o equipamento a ser realizada a inspeção, gera um campo magnético longitudinal capaz de tornar identificáveis as falhas e reentrâncias presentes na peça."
